location,size,society,total_sqft,bath,balcony,price
Kadugodi,3,Alestrb,1890,4,3,127
Ashwathnagar,3,Vaour S,2197,4,3,280
Hebbal Kempapura,3,GonumPl,3522,3,2,380
Gaurava Nagar,3,,1240,2,2,46
HRBR Layout,2,Vaaveeh,1440,2,2,98
Kodichikkanahalli,1,,650,1,2,38
Budigere,1,Brstaue,764,1,1,32
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39
Hoodi,3,Macanr ,1445,3,2,65
Kanakpura Road,2,PrarePa,900,1,0,45
Singasandra,2,,1030,2,0,55
Yelahanka,3,Pyikad ,1381,2,2,52.48
Basapura,2,Krtiqa ,1100,2,1,60
Hoodi,3,,1575,3,2,66.39
Gandhi Bazar,6,,1020,6,1,370
Begur Road,2,Dhalsh ,1200,2,2,43.2
Kasturi Nagar,2,GradeMR,1080,2,2,80
Gandhi Bazar,6,,1020,6,1,370
Akshaya Nagar,3,,1360,2,2,85
Jakkur,3,Ceezey ,1865,3,1,124
Sarjapur  Road,3,AsastDe,1157,2,1,75
Kammasandra,2,Icingpy,674,2,1,29
Whitefield,3,AdndeBe,1405,2,1,78
Begur Road,2,Dhalsh ,1160,2,2,44.08
Gandhi Bazar,6,,1020,6,1,370
Hebbal,3,Oztarol,1790,3,2,127
Electronic City,2,Prarkun,1128,2,1,65.65
Panathur,2,Arentpa,1180,2,1,70
AGS Layout,3,,1450,2,2,85
Kengeri,1,,340,1,1,10
Gandhi Bazar,6,,1020,6,1,370
Rachenahalli,2,,1050,2,2,53.5
Varthur,2,Pethaai,1125,2,2,40
Vittasandra,2,Prlla C,1246,2,1,68
HSR Layout,2,SrisePo,1372,2,1,61
Uttarahalli,3,Aklia R,1330,2,1,56
Binny Pete,3,She 2rk,2465,5,2,234
Dasarahalli,2,,1300,2,3,55
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Channasandra,2,Unm 2El,1065,2,1,35
Hessarghatta,2,,700,2,0,27
Belathur,2,Viiniai,1050,2,1,45
Maruthi HBCS Layout,3,,1250,3,3,39.5
Electronic City,2,Palleon,865,2,0,42
Uttarahalli,2,,1200,2,2,44
Srirampura,3,NRnoral,1756,3,3,100
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,1,Ardanru,628,1,1,24
Gandhi Bazar,6,,1020,6,1,370
5th Phase JP Nagar,2,,1207,2,2,63
Kalena Agrahara,3,KlarkBe,1765,3,1,125
Electronic City,2,,1130,2,1,32.64
Devanahalli Road,3,Ozana U,1532,3,3,92
Ejipura,3,DSncele,1650,3,0,110
Gandhi Bazar,6,,1020,6,1,370
Bhoganhalli,2,Rosha I,804.1,2,1,69.09
Doddathoguru,2,,1200,2,2,75
Kengeri,2,,1197,2,2,50
Green Woods Layout,2,Paarklu,1200,2,2,66
Uttarahalli,3,Shony S,1385,2,2,48.48
Craig Park Layout,2,Cearkry,1010,2,3,148
Whitefield,3,UKe 2nz,2225,3,3,115
Immadihalli,2,Niimet ,1180,2,2,48
Banagiri Nagar,3,,1525,2,3,122
Ananth Nagar,2,,1100,2,2,31.5
Hiremath Layout,3,,1435,3,3,70
Attibele,1,Jae 2hu,400,1,1,14
Dommasandra,2,Asene S,1200,2,2,50
Whitefield,2,PritaDo,1272,2,1,95.05
Whitefield,2,SSthamh,1205,2,1,39
Kalena Agrahara,2,ARomee ,980,2,1,40
Malleshpalya,2,,1225,2,2,46.86
Whitefield,3,,1541,3,1,72
Ramagondanahalli,3,DNeremo,1610,2,2,111
Jalahalli,2,Tahtsla,1694,2,2,125
Gandhi Bazar,6,,1020,6,1,370
Kaggalipura,2,Baowsig,950,2,1,39
Muneshwara Nagar,3,Laderav,1560,2,3,66
Chandapura,2,,1201,2,2,27
Gandhi Bazar,6,,1020,6,1,370
Malleshpalya,3,,1785,3,2,75
Raja Rajeshwari Nagar,2,,1258,2,1,63.53
Electronic City,2,CoapeSo,910,2,2,42
Thigalarapalya,2,,1297,2,2,112
Kundalahalli,2,Vangsld,1291,2,3,49
Chikkasandra,2,,1070,2,2,42
Varthur,2,Soamsay,1012,2,1,66.5
Mahadevpura,2,,1260,2,3,57.6
Sarjapur  Road,2,Maantr ,1282,2,2,72
Kanakpura Road,3,Puestol,1843,3,2,92.15
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Hebbal,4,Raard B,2790,5,3,198
EPIP Zone,2,BrontLa,1330,2,1,86.98
Konanakunte,3,A rtsai,1400,2,1,73
Whitefield,2,,1192,2,1,71
3rd Block Jayanagar,2,,1000,2,1,130
Thigalarapalya,2,Prtanha,1297,2,2,103
Vijayanagar,3,Saahaat,1490,3,2,100
Rayasandra,3,MJeusyl,1373,3,2,72
7th Phase JP Nagar,2,,1035,2,1,41.39
Gandhi Bazar,6,,1020,6,1,370
Doddakallasandra,2,,1010,2,1,40.39
Sarjapur,2,,1195,2,1,42
HSR Layout,3,Klort C,1750,3,2,95
Malleshpalya,2,A idse ,1052,2,2,50
Horamavu Banaswadi,2,,1180,2,2,58
Gandhi Bazar,6,,1020,6,1,370
Hormavu,3,,2100,3,2,73
Gandhi Bazar,6,,1020,6,1,370
Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,2,38.24
Ulsoor,3,,2700,3,1,450
JP Nagar,2,DSvvyx ,1120,2,2,33.6
HSR Layout,3,,2424,3,2,90
Manjunatha Layout,2,,1300,2,1,60
Kanakapura,2,SPavenc,1090,2,2,32.69
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Uttarahalli,3,SLnssPr,1330,2,2,46.55
Hosur Road,3,PuendWe,1427,2,1,80.63
Banjara Layout,3,,1294,2,2,48
Begur,3,Vantspa,1580,3,2,75
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Rajaji Nagar,4,PhestOn,3516,4,3,540
Parappana Agrahara,2,Peide L,1194,2,2,47
Kanakpura Road,2,PrarePa,900,2,1,46
Abbaiah Reddy Layout,3,,1310,2,3,50
Kanakpura Road,2,PrarePa,900,2,1,46
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Yelachenahalli,2,,2400,1,1,150
Koramangala,2,,1290,2,3,100
Gandhi Bazar,6,,1020,6,1,370
Lakshmi Layout,3,Cemesti,1390,3,1,120
Gandhi Bazar,6,,1020,6,1,370
Bisuvanahalli,2,Prityel,845,2,1,33
Yelahanka,3,Niareum,1537,3,3,120
Immadihalli,2,,1135,2,2,68
Hoodi,3,Caycend,1512,3,2,75.77
Srinivasa Nagar,2,,900,2,1,55
Jigani,3,DLhtsen,1230,3,3,54
Thirumenahalli,3,MNtha A,1378,2,3,42.33
Whitefield,2,Asarqz ,1277,2,1,61.3
Hebbal,3,Raard B,1985,4,2,189
Gandhi Bazar,6,,1020,6,1,370
KPC Layout,2,SVmesVi,1210,2,2,62
Yelahanka,2,,890,2,2,40
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Ardendale,4,AWharde,3198,4,3,200
HOSUR MAIN ROAD,3,,1464,3,2,56
Hebbal,4,Prersis,2483,5,2,215
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,4,Vaunei ,4111,4,1,310
Electronic City,2,SNncypa,975,2,2,37.5
Nandi Durga Road,3,,2500,3,1,250
Rajiv Nagar,3,PuoodSk,1690,3,1,125
Hosa Road,2,SStusan,1063,2,1,31.89
Gandhi Bazar,6,,1020,6,1,370
Kumara Park,3,,2200,4,3,350
Daadys Gaarden Layout,3,InockHo,1600,3,0,80
Maruthi Nagar,3,,1250,3,1,39.5
Bommanahalli,1,Prtusth,520,1,0,19.5
Marathahalli,4,PueraRi,4000,5,0,212
Munnekollal,3,Keids O,1390,3,2,68
Whitefield,2,SSdhimr,1185,2,2,40
Sahakara Nagar,2,KVersuj,1219,2,2,48
Kudlu Gate,3,Sanzaat,1564,2,1,92
Hosa Road,2,Sancei ,1100,2,2,37.1
Kothannur,3,Esale O,1300,2,0,60
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Hennur Road,3,Puachal,1482,2,1,92
Gandhi Bazar,6,,1020,6,1,370
Shampura,2,,1200,2,3,53
Gandhi Bazar,6,,1020,6,1,370
Kengeri,2,,1200,2,0,58
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,3,PrensKe,1469,3,1,89
Kanakapura,1,,551,1,1,30
Electronics City Phase 1,2,,1160,2,1,52
Balagere,2,Soresea,1205,2,1,78.5
Kasavanhalli,3,,1550,2,3,52
Gubbalala,3,MauilTr,1745,3,2,125
AECS Layout,2,Kamesar,1028,2,1,42
Frazer Town,3,CaaveEn,1700,3,1,180
Karuna Nagar,3,NadriNe,1200,2,1,34
Kodihalli,3,Soianal,2700,4,1,270
Kallumantapa,2,BSarknd,1100,2,2,50
Gandhi Bazar,6,,1020,6,1,370
Kaverappa Layout,2,Dural C,1269.72,2,2,68
Electronic City Phase II,2,SJmesst,1266,2,2,59
Mysore Road,2,Srkha S,1060,2,1,62
Gandhi Bazar,6,,1020,6,1,370
Medahalli,2,Sancya ,1552,2,1,51
Attibele,1,Jae 1hu,500,1,1,17
Hulimavu,2,,1080,2,2,43.2
Gandhi Bazar,6,,1020,6,1,370
Rustam Bagh Layout,2,Shntsan,1300,2,2,65
Electronics City Phase 1,2,SNavenc,920,2,2,33
Gandhi Bazar,6,,1020,6,1,370
Harlur,2,SrEndPo,1310,2,1,50
Horamavu Agara,3,,1650,2,1,75
Garden Layout,3,DSidePr,1515,3,3,93.93
Raja Rajeshwari Nagar,2,Prllsan,1157,2,1,53.8
Viswapriyanagar.begur Road.bommanahalli.,4,,2400,5,1,85
Konanakunte,4,Siisega,3000,4,3,160
Basavangudi,3,,2200,2,1,162
"Hoodi Circle, ",2,,1243,2,1,58
Rachenahalli,3,Sovar S,1530,2,2,74.39
Judicial Layout,3,HRnyaAn,2070,3,3,162
Yelahanka,3,PrrloMo,1815,3,2,82
Sarjapur  Road,4,Maana E,3900,4,3,300
Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Ananth Nagar,2,,982,2,2,24.55
Hennur Road,2,Puachal,1232,2,2,89
Binny Pete,3,Shestlo,1282,3,2,178
Yelahanka,1,Prensya,654,1,1,38.4
Bannerghatta Road,2,,1181,2,0,55
Bisuvanahalli,3,Prityel,1075,2,1,45
Gandhi Bazar,6,,1020,6,1,370
T K Reddy Layout,3,DSineun,1616,3,1,75
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,Somns T,1306,3,2,54.65
Whitefield,3,Nillsre,1626,3,3,89
"Pai layout , Mahadevapura",6,,2700,4,2,214
Whitefield,3,Sudama ,1585,3,2,88
7th Phase JP Nagar,2,,1370,2,1,56.17
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,2,Goelsn ,1495,2,2,90
frazertown,3,,2000,3,2,210
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Kereguddadahalli,3,,1400,2,2,48
Kadugodi,5,,1100,5,0,135
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,2,,1150,2,2,46
Hebbal,2,,1080,2,1,54
Kaikondrahalli,3,Brtiael,1645,3,2,100
Doddanekundi,3,AkletBa,1760,3,3,176
Venkatadri Layout,1,Raiyai ,595,1,1,42
Gandhi Bazar,6,,1020,6,1,370
Mahaganapathy Nagar,2,Vaodak ,1410,2,3,67
Huskur,2,,1090,2,1,31.48
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,2,Maaveal,1300,2,2,60
9th Phase JP Nagar,3,ImiteEl,1890,2,2,85
Belathur,2,SLwernf,1254,2,1,53
Gandhi Bazar,6,,1020,6,1,370
Ulsoor,2,,1275,2,2,120
Kathriguppe,3,,1245,2,2,68.48
Rustam Bagh Layout,2,TealdEm,1170,2,2,86
Panathur,2,Prcesvy,1193,2,1,86
Chandapura,2,,850,2,1,25.4
Marathahalli,3,PadgeOa,1678,3,3,70
Gunjur,3,NDrelau,1600,3,3,75
Electronics City Phase 1,3,GaicaVe,1750,3,2,84
Whitefield,2,,1125,2,2,62
Gandhi Bazar,6,,1020,6,1,370
HBR Layout,3,Peentn ,2800,2,0,200
Gandhi Bazar,6,,1020,6,1,370
Vittal Nagar,2,Riave E,1000,2,1,50
Sadashiva Nagar,4,,2780,5,2,480
Electronic City Phase II,3,Sryalan,1320,2,1,38.13
2Electronic City Phase II,27,,8000,27,0,230
Ardendale,4,AWharde,2422,4,2,160
Kasavanhalli,2,TNaldme,1100,2,1,50
Uttarahalli,2,Gaent R,882,2,1,30
Bisuvanahalli,2,Prityel,845,2,1,37
Kambipura,2,Prrtht ,883,2,1,39
Brookefield,3,Gotaten,1595,3,3,88
Whitefield,2,Gotis A,1280,2,0,85
Gandhi Bazar,6,,1020,6,1,370
Bhuvaneshwari Nagar,2,NaaveEn,920,2,0,35
Choodasandra,2,GRlpank,1300,2,3,57
Shanthala Nagar,2,Malex C,1450,1,0,230
Harlur,3,SosicCl,1757,3,2,132
Anekal,1,,600,1,1,16.5
Gandhi Bazar,6,,1020,6,1,370
Sarjapur,2,,1240,2,1,44
Gandhi Bazar,6,,1020,6,1,370
EPIP Zone,2,BrontLa,1330,2,1,93.36
8th Phase JP Nagar,2,MBodsen,1062,2,1,42.47
JP Nagar,2,DSillto,1078,2,2,45
Bannerghatta Road,3,SNity S,1460,2,2,72
Gandhi Bazar,6,,1020,6,1,370
Laggere,1,,1200,1,1,48
Kammasandra,3,,912,2,1,39
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Mysore Road,2,Brama P,980,2,1,45.47
Sarjapur  Road,2,Usquaya,1000,2,2,40
Sarjapur  Road,2,Ahriaup,1050,2,1,62
Gandhi Bazar,6,,1020,6,1,370
Domlur,3,Saiewas,1875,2,2,150
Hennur Road,2,,1065,2,1,42.6
Sanjay nagar,3,,1800,3,2,180
Sector 7 HSR Layout,2,,1163,2,2,98.86
Tumkur Road,2,,1098,2,1,72
5th Phase JP Nagar,3,Shlashi,1725,2,2,100
Gandhi Bazar,6,,1020,6,1,370
Thubarahalli,2,Adity S,1128,2,2,75
Gandhi Bazar,6,,1020,6,1,370
Yelahanka,3,Prensya,1705,3,1,74.16
Thigalarapalya,2,,1418,2,2,95
Gandhi Bazar,6,,1020,6,1,370
Hebbal,2,AkncyRe,1100,2,2,50
KUDLU MAIN ROAD,3,,1464,3,2,56
Hebbal,2,Arcia S,812,2,2,55
Doddanekundi,2,,1280,2,2,40
Whitefield,2,BruntPa,1420,2,2,136
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Old Airport Road,4,Jaades ,2774,4,1,207
5th Stage BEML Layout,3,,2000,3,2,85
HBR Layout,3,Gats He,1722,3,2,95
Indira Nagar,3,ToSky F,2800,3,1,330
Jaya Mahal layout,3,Fanorrt,1650,3,3,175
BSM Extension,2,Raave E,840,2,2,27
Jigani,2,DLhtsan,914,2,2,47
Hennur Road,3,Puachal,1482,2,2,83.73
Kundalahalli,3,Dieldli,1724,3,2,127
Vijinapura,3,Vadidpl,1670,3,3,91.86
Banaswadi,2,,1184,2,3,53
Kodigehaali,2,,1200,2,1,55
Gandhi Bazar,6,,1020,6,1,370
Jigani,2,DLhtsen,927,2,2,55
P&T Layout,2,,1242,2,3,39.7
Electronic City Phase II,3,Sryalan,1220,3,1,35.23
Electronic City,3,GMown E,1360,2,1,75
Gandhi Bazar,6,,1020,6,1,370
7th Phase JP Nagar,2,Hiestre,1180,2,2,72
Whitefield,3,Prtates,1697,3,2,108
Yelahanka New Town,2,,550,2,1,26
Hennur,2,Shateor,1225,2,1,57
Byrasandra,3,ViisePa,1690,2,2,55
Gandhi Bazar,6,,1020,6,1,370
Veerannapalya,3,,1488,3,2,57
Chowdeshwari Layout,3,Keharya,1250,2,1,80
JP Nagar,1,Duoveoo,1050,1,1,44
HSR Layout,2,,1027,2,2,44
Kanakpura Road,3,GolusLi,1699,3,3,81.94
Whitefield,2,Viaree ,1205,2,2,58
Gandhi Bazar,6,,1020,6,1,370
Horamavu Agara,2,,950,2,3,39
Gandhi Bazar,6,,1020,6,1,370
Akshaya Nagar,3,Hiows C,1476,3,1,120
CV Raman Nagar,2,,1070,2,1,55
EPIP Zone,3,BrontLa,2160,4,2,172
Sector 2 HSR Layout,2,Putus L,1296,2,1,75
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,3,JRrnauv,1570,3,3,64.5
Koramangala,2,Saace P,1300,2,3,110
Sarjapur,4,,1550,2,2,65
Electronic City,2,GMown E,770,1,1,40
Jalahalli,3,Kuownri,1870,3,1,110
Gandhi Bazar,6,,1020,6,1,370
Domlur,3,Valipf ,1429,3,3,86
Babusapalaya,3,,1167,2,2,39.98
Bommasandra,2,SSestth,1035,2,1,41.73
Kengeri,3,,1188,2,2,38
Gandhi Bazar,6,,1020,6,1,370
Nagarbhavi,1,MaentNa,884,2,2,36
Haralur Road,2,,1194,2,2,46
Hoodi,2,Caycend,1026,2,1,60.87
Gandhi Bazar,6,,1020,6,1,370
Kaikondrahalli,2,,1115,2,2,50
Gandhi Bazar,6,,1020,6,1,370
Old Airport Road,4,Jaades ,2690,4,3,191
Subramanyapura,2,Mayne A,975,2,1,58
Gandhi Bazar,6,,1020,6,1,370
Chamrajpet,4,,1900,2,1,170
Gandhi Bazar,6,,1020,6,1,370
OMBR Layout,2,,1101,2,2,65.5
Sarjapur  Road,3,Maana E,1700,3,3,135
Whitefield,4,PrOakSi,3606,4,2,312
Padmanabhanagar,2,ACersd ,1258,2,2,115
Kanakpura Road,3,Advash ,1560,3,2,92
Old Madras Road,4,Brica E,3630,6,1,195
JP Nagar,3,Adace P,2000,3,2,250
Hebbal,4,Raard B,2790,4,3,198
Badavala Nagar,3,DNncasa,1494,2,2,94.55
Hennur Road,3,Puachal,1482,2,1,87
Rustam Bagh Layout,2,Inuseda,800,2,3,50
Raja Rajeshwari Nagar,2,,1185,2,2,47.39
Hulimavu,2,RatosAr,1100,2,2,71.5
Gandhi Bazar,6,,1020,6,1,370
4th Block Koramangala,2,EvestPi,1225,2,2,150
Hulimavu,3,,1758,3,2,65
Banaswadi,2,,1145,2,2,55
Hormavu,2,BhncyRe,1180,2,2,50
Belatur,2,Kehts H,1260,2,2,58
Arekere,2,DancyRe,1190,2,2,55
Sarjapur  Road,3,Klark L,1691,3,2,119
Lalbagh Road,4,,3675,4,3,367
Frazer Town,3,Frhts H,1305,3,3,95.45
Basavangudi,3,,2337,4,3,292
Gandhi Bazar,6,,1020,6,1,370
Domlur,2,,1206,2,1,217
Gandhi Bazar,6,,1020,6,1,370
Kogilu,2,,1140,2,1,50.66
Nallurhalli,2,Mauil T,1250,2,2,65
Gandhi Bazar,6,,1020,6,1,370
Chinnapanahalli,2,,1225,2,2,48
Kereguddadahalli,2,N iewak,800,2,2,28
Jalahalli East,2,ShshaSa,1020,2,1,58
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Anekal,2,,925,2,1,40
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Frazer Town,3,Loente ,1510,2,1,75
Gandhi Bazar,6,,1020,6,1,370
Laxmi Sagar Layout,3,DubowRa,1614,3,1,110
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
OMBR Layout,2,,1041,2,2,65.5
7th Phase JP Nagar,6,BriumMi,5080,7,2,450
Bannerghatta,4,Mamespa,3012,6,2,250
Marathahalli,3,,1530,3,2,74.5
Sector 2 HSR Layout,3,NCdgerj,1450,2,2,135
Bannerghatta Road,2,Hiate F,1200,2,2,75
Gandhi Bazar,6,,1020,6,1,370
Hosur Road,3,PuendWe,1508,2,1,110
New Gurappana Palya,7,,600,7,3,106
Dodda Nekkundi Extension,2,AlEcone,1188,2,3,73
Old Airport Road,4,Jaades ,2690,4,3,199
Harlur,2,Prncyrn,1174,2,1,76
Old Madras Road,3,SheldGr,1350,3,1,58.99
Frazer Town,3,Bamita ,1870,3,3,185
Kengeri Satellite Town,2,DSestSt,1072,2,1,25
Gandhi Bazar,6,,1020,6,1,370
Kengeri,2,VBn 2lm,726,2,1,31
Hosur Road,2,Saageat,1345,2,2,106
Begur Road,2,Dhalsh ,1200,2,2,45
Nagavarapalya,2,,980,2,0,37
Hormavu,2,SyidaCr,1050,2,1,77
Uttarahalli,2,,993,2,1,39.71
7th Phase JP Nagar,3,,1300,2,2,52
Vittasandra,3,Prlla C,1743,3,2,85
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
2nd Block Hrbr Layout,3,,1480,3,2,90
Sarjapur,2,Sondaka,950,2,2,32.5
Domlur,1,Saiewas,640,1,0,55
Electronic City Phase II,2,MJtroty,972,2,1,44
Marathahalli,3,PadgeOa,1840,3,3,98
Electronic City,2,Prarkun,1128,2,1,64
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Basapura,2,,1045,2,2,42
Roopena Agrahara,2,,955,2,3,53.55
Doddakallasandra,3,,1360,2,2,54.39
BTM Layout,2,Mames M,1150,2,2,63
Gandhi Bazar,6,,1020,6,1,370
Chennammana Kere,2,,1115,2,2,56.87
Jigani,2,DLhtsen,920,2,2,46
Bommasandra Industrial Area,2,,1030,2,1,41
Thanisandra,3,Soitya ,1564,3,1,101
Uttarahalli,2,SirlsPe,1045,2,1,45
Gandhi Bazar,6,,1020,6,1,370
Subramanyapura,2,,1277,2,2,55
Kanaka Nagar,3,SoniaPe,2479.13,3,1,215
Sarjapur  Road,3,Adeatlm,1846,3,2,140
Tasker Town,2,,1100,2,0,106
Govindpura,3,Muncy R,1690,3,0,75
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Rajaji Nagar,3,Brway G,1640,3,3,223
NR Colony,2,GKncysi,1068,2,1,40.05
Kanakpura Road,2,SGiewrk,1135,2,2,58
Agara Village,3,,1925,3,2,120
Begur Road,3,,1615,3,2,60
Shettigere,1,,650,1,1,26
Gandhi Bazar,6,,1020,6,1,370
Kaggadasapura,2,AnaveEn,1150,2,3,42
Gandhi Bazar,6,,1020,6,1,370
Kenchanehalli R R Nagar,3,,1410,2,2,45.12
Gandhi Bazar,6,,1020,6,1,370
Kumara Park,3,,2000,3,3,207
Tumkur Road,3,Sahtsva,1354,3,1,90
Gandhi Bazar,6,,1020,6,1,370
Arekere,1,,600,1,1,28
Gandhi Bazar,6,,1020,6,1,370
Koramangala,3,,1600,3,2,88
Gandhi Bazar,6,,1020,6,1,370
GM Palaya,2,Samesan,1000,2,1,36
Byagadadhenahalli,3,VBavaai,1130,3,1,38
Vittasandra,2,,1238,2,1,67
Ashwathnagar,3,Vaour S,2204,2,3,305
Gandhi Bazar,6,,1020,6,1,370
Kudlu Gate,3,,1364,2,3,46.38
Srinivasa Nagar,2,,900,2,1,45
Gubbalala,3,MauilTr,1745,3,2,104
Kogilu,2,,1200,2,1,53.33
Kanakapura,2,,1020,2,1,42.83
Banashankari Stage III,3,,1650,3,2,118
Doddabommasandra,3,MaaveEn,1550,2,3,70
5th Phase JP Nagar,2,,1440,2,2,60
Sarjapura - Attibele Road,3,Soe 2as,1329,2,2,45.95
Maruthi Layout,2,Prareth,916,2,1,42
Hulimavu,1,NiarkHy,688,1,2,50
Sree Narayana Nagar,3,Sholaya,1358,3,3,50
Kanakpura Road,2,Soazak ,1331,2,1,107
Malleshwaram,1,Kaamai ,686,1,1,62.5
Hoodi,2,Sulla S,1050,2,2,50
Talaghattapura,3,Sodgere,2106,3,2,126
Bhoganhalli,3,Rosha I,1718,3,2,90.2
Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,2,57
5th Block Hbr Layout,2,,1206,2,2,56
Hebbal,2,Arade A,1075,2,3,52
Gandhi Bazar,6,,1020,6,1,370
Tunganagara,3,DSdidSp,1936,2,2,54.21
Nagavara,4,K dotna,2172.65,3,3,120
Sahakara Nagar,3,,1100,2,2,75
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Sarjapur  Road,2,Soikaa ,1117,2,3,29.99
Remco Bhel Layout,3,Suncy R,1685,2,1,110
CV Raman Nagar,2,AnncyRe,740,2,1,37
Gandhi Bazar,6,,1020,6,1,370
Gandhi Bazar,6,,1020,6,1,370
Banashankari,3,Bregae ,1800,3,2,115
Yelachenahalli,3,PuontBe,1700,3,2,130
Uttarahalli,2,Kinumsh,850,2,2,37.93
Hennur Road,3,SaireSa,1891,3,1,139
Jalahalli,2,Prensin,1400,1,1,80
Lakshminarayana Pura,2,,1172,2,2,82
Electronic City Phase II,3,,1400,2,2,40.43
Sonnenahalli,2,DSgam S,896,2,1,43.75
Vijayanagar,2,Saityat,1180,2,2,65
Gandhi Bazar,6,,1020,6,1,370
Chokkasandra,2,Siise R,850,2,1,33
Anekal,1,,530,1,1,18
2nd Block Hrbr Layout,3,,1550,3,3,110
Kanakapura,3,GoityEt,1699,3,3,97
Bellandur,4,NiCodCa,2025,4,3,109
Ananth Nagar,1,,500,2,2,14
Panduranga Nagar,1,Jeshan ,500,1,0,20
Sri Venkateshpura Layout,2,,1146,2,1,38.5
Malleshwaram,3,Sariaat,2475,4,3,332
Haralur Road,2,Rencyed,1455,2,1,145
Gandhi Bazar,6,,1020,6,1,370
Abbigere,1,,765,2,2,30
Lingadheeranahalli,3,Soiewre,1521,3,1,94.99
Gottigere,3,,1600,2,2,55
Byadarahalli,3,Prurten,3155,4,2,370
Hebbal Kempapura,3,GonumPl,2900,4,2,240
Jakkur Plantation,3,Reicace,1765,3,3,105
Kasavanhalli,3,Incksaf,1980,3,2,88
Gandhi Bazar,6,,1020,6,1,370
Kaverappa Layout,2,Dural C,1265,2,3,70
Bommasandra,2,Niara S,1034,2,3,40
Kaverappa Layout,2,,1012,2,1,59
Electronic City,2,GMown E,1070,2,1,54
Gandhi Bazar,6,,1020,6,1,370
5th Block Hbr Layout,3,,1270,2,2,70
Gandhi Bazar,6,,1020,6,1,370
Doddanekundi,3,AkletBa,2045,4,3,154
Bellandur,3,AkonyHa,1490,2,2,98
Gandhi Bazar,6,,1020,6,1,370
Mysore Road,2,,883,2,1,40
Yeshwanthpur,1,IBityin,671,1,1,36.85
Kammasandra,2,Elentrk,1156,2,2,32
Haralur Road,3,NDionas,2017,3,2,125
Thigalarapalya,4,Prtanha,3122,6,2,235
Ramagondanahalli,3,ViistLa,1635,3,1,62
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,2,Soazak ,1296,2,1,89
Gandhi Bazar,6,,1020,6,1,370
Budigere,2,PrityTr,1139,2,2,62
CV Raman Nagar,2,,1230,3,2,47
Basaveshwara Nagar Yelahanka,1,,581.91,2,1,25
Binny Pete,2,Shestlo,1245,2,1,86.28
Gandhi Bazar,6,,1020,6,1,370
Marathahalli,4,PueraRi,3951,4,2,220
Electronic City,2,Itelaa ,550,1,1,15
Ramamurthy Nagar,1,ItRRVna,360,1,1,26
Electronics City Phase 1,3,,1350,3,1,55
Green Glen Layout,3,Soweray,1670,3,2,120
Akshaya Nagar,3,,1600,2,2,65
Horamavu Banaswadi,2,,1307,2,2,51.6
7th Phase JP Nagar,3,LencyRe,1050,2,1,57
Hennur Road,3,ChionCo,1703,3,1,101
Kaggalipura,3,Baowsig,1210,2,1,58
